bet_id,recommended_at,date,gamePk,matchup,first_pitch,market,side,line,book,price,fair_prob,fair_american,edge_pred,confidence,units_risked,status,units_pl,final_runs_h,final_runs_a,f5_runs,first_inn_runs,settled_at,closing_price,closing_fair_prob,clv_pct,beat_close,notes
1,2026-04-25T06:24:36.684571Z,2026-04-25,822826,Cleveland Guardians @ Toronto Blue Jays,2026-04-25T19:07:00Z,total,over,8.0,draftkings,-105,0.6035,-152,0.1783,7,1.5,push,0.0000,5,3,2,0,2026-04-26T02:19:12.242673Z,,,,, push
2,2026-04-25T06:24:36.684571Z,2026-04-25,822910,Athletics @ Texas Rangers,2026-04-25T23:05:00Z,total,over,8.0,draftkings,-107,0.6255,-167,0.2101,7,1.5,lost,-1.5000,4,3,5,0,2026-04-26T02:19:12.242673Z,,,,,
3,2026-04-25T06:24:36.684571Z,2026-04-25,822989,Minnesota Twins @ Tampa Bay Rays,2026-04-25T20:10:00Z,total,over,8.0,fanduel,-110,0.6064,-154,0.1577,7,1.5,lost,-1.5000,6,1,2,0,2026-04-26T02:19:12.242673Z,,,,,
4,2026-04-25T06:24:36.684571Z,2026-04-25,822989,Minnesota Twins @ Tampa Bay Rays,2026-04-25T20:10:00Z,runline,away,1.5,fanduel,-194,0.6865,-219,0.0404,5,0.5,lost,-0.5000,6,1,2,0,2026-04-26T02:19:12.242673Z,,,,,
5,2026-04-25T06:24:36.684571Z,2026-04-25,823070,Seattle Mariners @ St. Louis Cardinals,2026-04-25T18:15:00Z,runline,home,1.5,draftkings,-136,0.7498,-300,0.3010,7,1.5,lost,-1.5000,9,11,13,4,2026-04-26T02:19:12.242673Z,,,,,
6,2026-04-25T06:24:36.684571Z,2026-04-25,823229,Miami Marlins @ San Francisco Giants,2026-04-25T20:05:00Z,total,over,7.5,fanduel,-105,0.5665,-131,0.1060,7,1.5,won,1.4286,6,2,2,0,2026-04-26T02:19:12.242673Z,,,,,
7,2026-04-25T06:24:36.684571Z,2026-04-25,823637,Colorado Rockies @ New York Mets,2026-04-25T20:10:00Z,runline,away,1.5,draftkings,-122,0.7019,-235,0.2772,7,1.5,pending,,,,,,,,,,,
8,2026-04-25T06:24:36.684571Z,2026-04-25,823960,Chicago Cubs @ Los Angeles Dodgers,2026-04-25T23:15:00Z,total,under,9.5,fanduel,-115,0.6709,-204,0.2544,7,1.5,lost,-1.5000,12,4,12,0,2026-04-26T16:28:53.267553Z,,,,,
9,2026-04-25T06:24:36.684571Z,2026-04-25,824121,Los Angeles Angels @ Kansas City Royals,2026-04-25T23:10:00Z,runline,away,1.5,draftkings,-156,0.7222,-260,0.1852,7,1.5,lost,-1.5000,12,1,5,0,2026-04-26T02:19:12.242673Z,,,,,
10,2026-04-25T06:24:36.684571Z,2026-04-25,824203,New York Yankees @ Houston Astros,2026-04-25T23:10:00Z,total,under,9.0,betmgm,100,0.6763,-209,0.3527,7,1.5,lost,-1.5000,3,8,3,1,2026-04-26T02:19:12.242673Z,,,,,
11,2026-04-25T06:24:36.684571Z,2026-04-25,824527,Detroit Tigers @ Cincinnati Reds,2026-04-25T23:15:00Z,runline,home,1.5,draftkings,-175,0.7376,-281,0.1592,7,1.5,won,0.8571,9,2,8,5,2026-04-26T02:19:12.242673Z,,,,,
12,2026-04-25T06:24:36.684571Z,2026-04-25,824613,Washington Nationals @ Chicago White Sox,2026-04-25T20:10:00Z,runline,away,1.5,draftkings,-175,0.6991,-232,0.0987,7,1.5,won,0.8571,3,6,2,0,2026-04-26T02:19:12.242673Z,,,,,
13,2026-04-25T06:24:36.684571Z,2026-04-25,824613,Washington Nationals @ Chicago White Sox,2026-04-25T20:10:00Z,total,over,8.5,betmgm,-120,0.5714,-133,0.0476,5,0.5,won,0.4167,3,6,2,0,2026-04-26T02:19:12.242673Z,,,,,
14,2026-04-25T06:24:36.684571Z,2026-04-25,824851,Boston Red Sox @ Baltimore Orioles,2026-04-25T16:05:00Z,total,over,7.5,draftkings,-115,0.6958,-229,0.3009,7,1.5,won,1.3043,1,17,7,0,2026-04-26T02:19:12.242673Z,,,,,
15,2026-04-25T06:24:36.684571Z,2026-04-25,824933,Philadelphia Phillies @ Atlanta Braves,2026-04-25T23:15:00Z,total,over,8.5,fanduel,-112,0.5841,-140,0.1057,7,1.5,won,1.3393,5,8,5,1,2026-04-26T16:28:53.267553Z,,,,,
16,2026-04-25T06:24:36.684571Z,2026-04-25,825093,San Diego Padres @ Arizona Diamondbacks,2026-04-25T22:05:00Z,total,under,15.5,fanduel,-102,0.9000,-900,0.7824,9,2.0,won,1.9608,4,6,5,0,2026-04-26T02:19:12.242673Z,,,,,
17,2026-04-25T06:43:41.579777Z,2026-04-25,823799,Pittsburgh Pirates @ Milwaukee Brewers,2026-04-25T23:10:00Z,moneyline,home,,fanduel,-132,0.6250,-167,0.0985,8,1.5,lost,-1.5000,3,6,4,0,2026-04-26T02:19:12.242673Z,,,,,
18,2026-04-25T06:43:41.579777Z,2026-04-25,823799,Pittsburgh Pirates @ Milwaukee Brewers,2026-04-25T23:10:00Z,total,under,8.0,draftkings,-110,0.5448,-120,0.0400,5,0.5,lost,-0.5000,3,6,4,0,2026-04-26T02:19:12.242673Z,,,,,
19,2026-04-25T06:43:41.579777Z,2026-04-25,824527,Detroit Tigers @ Cincinnati Reds,2026-04-25T23:15:00Z,moneyline,home,,fanduel,-108,0.5450,-120,0.0496,5,0.5,won,0.4630,9,2,8,5,2026-04-26T02:19:12.242673Z,,,,,
20,2026-04-25T07:28:32.775900Z,2026-04-25,823799,Pittsburgh Pirates @ Milwaukee Brewers,2026-04-25T23:10:00Z,total,over,8.0,fanduel,-106,0.5547,-125,0.0780,6,0.5,won,0.4717,3,6,4,0,2026-04-26T02:19:12.242673Z,,,,,
